Total I/Os per Second ,Total MBs per Second ,Average I/O Response Time (ms) ,Maximum I/O Response Time (ms) ,% CPU Utilization (total) ,Total Error Count ,
9672.31,1209.04,13.2281,32.0267,1.99 %,0,
9620.81,1202.60,13.2847,32.3931,2.50 %,0,
9664.82,1208.10,13.2665,33.8239,4.70 %,0,
9586.94,1198.37,13.3242,34.7683,2.94 %,0,
9671.42,1208.93,13.2537,33.8856,3.38 %,0,
9575.45,1196.93,13.3682,42.6709,3.98 %,0,
9515.53,1189.44,13.4547,33.0425,5.03 %,0,
9540.03,1192.50,13.4217,32.9156,4.47 %,0,
9585.34,1198.17,13.3521,35.0487,4.47 %,0,
9595.10,1199.39,13.3489,31.2605,3.65 %,0,
9570.67,1196.33,13.3633,32.5189,2.15 %,0,
9571.63,1196.45,13.3707,36.5343,2.44 %,0,
9702.82,1212.85,13.1910,32.8785,2.87 %,0,
9575.46,1196.93,13.3794,36.3984,2.15 %,0,
9582.21,1197.78,13.3312,33.9018,2.80 %,0,
9270.19,1158.77,13.8317,35.2233,3.30 %,0,
9580.84,1197.60,13.3590,33.2466,2.85 %,0,
9576.60,1197.08,13.3591,34.2006,2.78 %,0,
9275.76,1159.47,13.8073,34.6634,2.75 %,0,
9259.20,1157.40,13.7945,35.3517,2.13 %,0,
9272.75,1159.09,13.8250,33.5270,2.28 %,0,
9236.92,1154.61,13.8685,32.6348,3.30 %,0,
9775.60,1221.95,13.0736,33.5254,2.67 %,0,
9615.40,1201.92,13.3266,32.4653,2.69 %,0,
9655.03,1206.88,13.2559,32.3724,2.21 %,0,
9591.27,1198.91,13.3232,38.1194,3.84 %,0,
9588.22,1198.53,13.3650,33.5461,3.90 %,0,
9596.08,1199.51,13.3523,34.8126,2.21 %,0,
9683.07,1210.38,13.2071,31.1072,2.85 %,0,
9510.85,1188.86,13.4537,36.0891,3.58 %,0,
9584.88,1198.11,13.3343,32.1610,3.60 %,0,
9484.49,1185.56,13.5243,34.7984,4.48 %,0,
9356.68,1169.58,13.6810,32.4167,2.35 %,0,
8970.24,1121.28,14.2618,36.3131,3.18 %,0,
8769.57,1096.20,14.5922,36.9074,2.80 %,0,
9051.41,1131.43,14.1180,30.2809,3.12 %,0,
9022.58,1127.82,14.2174,44.0627,4.91 %,0,
8903.39,1112.92,14.3564,36.2614,3.49 %,0,
8984.50,1123.06,14.2679,35.1194,2.86 %,0,
9036.90,1129.61,14.1467,32.6635,3.54 %,0,
8919.71,1114.96,14.3591,37.2014,2.90 %,0,
8888.54,1111.07,14.3837,39.3864,1.56 %,0,
8891.33,1111.42,14.3972,34.6044,3.91 %,0,
8958.00,1119.75,14.3100,37.2997,2.88 %,0,
8886.45,1110.81,14.4081,43.2016,2.93 %,0,
8730.54,1091.32,14.6436,37.6526,3.45 %,0,
8815.29,1101.91,14.5118,35.7378,2.29 %,0,
8951.36,1118.92,14.3222,35.0546,4.06 %,0,
8948.87,1118.61,14.2731,34.5117,3.52 %,0,
8938.32,1117.29,14.3360,39.5755,3.40 %,0,
8993.49,1124.19,14.2384,35.0896,2.94 %,0,
8927.96,1115.99,14.3370,33.5905,2.17 %,0,
8813.82,1101.73,14.5368,34.6570,3.31 %,0,
8788.64,1098.58,14.5462,41.2301,2.57 %,0,
8820.80,1102.60,14.5067,38.4606,1.08 %,0,
8743.73,1092.97,14.6484,36.4226,4.17 %,0,
8850.94,1106.37,14.4508,37.1392,2.95 %,0,
8947.14,1118.39,14.3126,43.8231,2.06 %,0,
9158.19,1144.77,13.9762,33.8454,1.96 %,0,
9368.87,1171.11,13.6680,34.1639,3.02 %,0,
9362.94,1170.37,13.6665,33.6753,2.30 %,0,
9359.50,1169.94,13.6798,36.8234,3.27 %,0,
9401.45,1175.18,13.6109,34.4896,2.21 %,0,
9376.75,1172.09,13.6249,34.4056,5.24 %,0,
9478.15,1184.77,13.5304,33.4816,1.90 %,0,
9231.50,1153.94,13.8520,35.2989,2.62 %,0,
9234.43,1154.30,13.8780,33.3516,2.85 %,0,
9064.53,1133.07,14.1242,34.5220,3.95 %,0,
9380.92,1172.62,13.6458,36.1152,4.65 %,0,
9393.03,1174.13,13.6054,36.8454,3.77 %,0,
9415.36,1176.92,13.6011,38.2276,2.72 %,0,
9433.97,1179.25,13.5867,31.6849,2.93 %,0,
9176.22,1147.03,13.9433,33.3804,2.95 %,0,
9373.36,1171.67,13.6587,34.7712,2.54 %,0,
9367.18,1170.90,13.6553,35.1106,3.35 %,0,
9449.85,1181.23,13.5567,33.5549,3.64 %,0,
9407.04,1175.88,13.5989,32.5855,2.43 %,0,
9344.84,1168.11,13.6742,39.9040,3.83 %,0,
9228.18,1153.52,13.8790,37.1317,4.10 %,0,
9183.25,1147.91,13.9463,35.2693,2.53 %,0,
9414.72,1176.84,13.5881,34.1793,2.49 %,0,
9451.86,1181.48,13.5287,34.5363,1.52 %,0,
9322.05,1165.26,13.7494,39.2656,3.56 %,0,
9334.05,1166.76,13.7248,35.8614,3.25 %,0,
9376.48,1172.06,13.6503,31.2292,2.77 %,0,
9217.44,1152.18,13.8547,36.3980,1.81 %,0,
9354.74,1169.34,13.7165,35.4966,1.62 %,0,
9594.05,1199.26,13.3382,36.8777,3.60 %,0,
9519.44,1189.93,13.4399,34.8478,3.49 %,0,
9693.29,1211.66,13.2126,32.8353,2.78 %,0,
9616.56,1202.07,13.3055,30.5879,2.96 %,0,
9448.77,1181.10,13.5376,32.6582,3.71 %,0,
9481.94,1185.24,13.5000,32.9011,1.56 %,0,
9463.62,1182.95,13.5352,34.6240,2.44 %,0,
9686.36,1210.79,13.2047,33.8197,2.97 %,0,
9685.10,1210.64,13.2029,34.3745,3.33 %,0,
9585.50,1198.19,13.3667,31.9766,2.37 %,0,
9665.69,1208.21,13.2518,32.4137,3.77 %,0,
9664.81,1208.10,13.2427,33.9157,3.37 %,0,
9592.66,1199.08,13.3404,31.4662,3.82 %,0,
9473.15,1184.14,13.5146,31.9937,2.77 %,0,
9577.21,1197.15,13.3557,35.4850,3.66 %,0,
9612.39,1201.55,13.2638,34.5120,3.74 %,0,
9684.67,1210.58,13.2646,36.9299,3.19 %,0,
9557.71,1194.71,13.4016,37.6895,3.27 %,0,
9471.93,1183.99,13.5128,32.8372,3.90 %,0,
9755.48,1219.43,13.1199,38.0713,3.29 %,0,
9651.07,1206.38,13.2502,32.3782,3.25 %,0,
